,topic,year,topic_count,total_posts_per_year,topic_proportion_year
109,Topic 18,2017,274,79365,0.0034524034524034525
110,Topic 18,2018,244,62029,0.003933643940737397
111,Topic 18,2019,196,62416,0.003140220456293258
112,Topic 18,2020,311,81554,0.0038134242342496997
113,Topic 18,2021,293,52101,0.005623692443523157
114,Topic 18,2022,198,38252,0.005176199937258183
115,Topic 18,2023,168,25299,0.00664057867899917
116,Topic 19,2011,6,1400,0.004285714285714286
117,Topic 19,2012,45,15956,0.0028202557031837554
118,Topic 19,2013,71,19872,0.003572866344605475
119,Topic 19,2014,85,23734,0.00358136007415522
120,Topic 19,2015,120,40541,0.0029599664537135247
121,Topic 19,2016,195,59424,0.003281502423263328
122,Topic 19,2017,258,79365,0.0032508032508032506
123,Topic 19,2018,297,62029,0.004788082993438553
124,Topic 19,2019,311,62416,0.004982696744424506
125,Topic 19,2020,376,81554,0.004610442161022145
126,Topic 19,2021,205,52101,0.003934665361509376
127,Topic 19,2022,169,38252,0.004418069643417338
128,Topic 19,2023,130,25299,0.005138543025416024
129,Topic 2,2011,7,1400,0.005
130,Topic 2,2012,69,15956,0.004324392078215091
131,Topic 2,2013,147,19872,0.007397342995169082
132,Topic 2,2014,171,23734,0.007204853796241678
133,Topic 2,2015,264,40541,0.006511926198169754
134,Topic 2,2016,424,59424,0.0071351642434033385
135,Topic 2,2017,679,79365,0.008555408555408555
136,Topic 2,2018,532,62029,0.008576633510132357
137,Topic 2,2019,501,62416,0.008026788003076135
138,Topic 2,2020,543,81554,0.006658165142114428
139,Topic 2,2021,426,52101,0.008176426556112167
140,Topic 2,2022,303,38252,0.007921154449440552
141,Topic 2,2023,161,25299,0.0063638879007075376
142,Topic 3,2011,7,1400,0.005
143,Topic 3,2012,66,15956,0.004136375031336174
144,Topic 3,2013,119,19872,0.005988325281803542
145,Topic 3,2014,114,23734,0.004803235864161119
146,Topic 3,2015,238,40541,0.0058706001331984906
147,Topic 3,2016,390,59424,0.006563004846526656
148,Topic 3,2017,624,79365,0.007862407862407862
149,Topic 3,2018,431,62029,0.006948362862532041
150,Topic 3,2019,422,62416,0.006761086900794668
151,Topic 3,2020,555,81554,0.006805306913210879
152,Topic 3,2021,354,52101,0.006794495307191801
153,Topic 3,2022,284,38252,0.007424448394855171
154,Topic 3,2023,202,25299,0.007984505316415669
155,Topic 5,2011,10,1400,0.007142857142857143
156,Topic 5,2012,130,15956,0.008147405364753071
157,Topic 5,2013,173,19872,0.00870571658615137
158,Topic 5,2014,187,23734,0.007878992163141484
159,Topic 5,2015,295,40541,0.007276584198712415
160,Topic 5,2016,437,59424,0.007353931071620894
161,Topic 5,2017,541,79365,0.006816606816606816
162,Topic 5,2018,337,62029,0.00543294265585452
163,Topic 5,2019,353,62416,0.005655601127915919
164,Topic 5,2020,411,81554,0.0050396056600534615
165,Topic 5,2021,263,52101,0.005047887756473004
166,Topic 5,2022,201,38252,0.005254627209034822
167,Topic 5,2023,196,25299,0.007747341792165698
168,Topic 6,2011,4,1400,0.002857142857142857
169,Topic 6,2012,55,15956,0.0034469791927801453
170,Topic 6,2013,132,19872,0.006642512077294686
171,Topic 6,2014,169,23734,0.007120586500379202
172,Topic 6,2015,243,40541,0.005993932068769887
173,Topic 6,2016,450,59424,0.007572697899838449
174,Topic 6,2017,542,79365,0.006829206829206829
175,Topic 6,2018,442,62029,0.007125699269696432
176,Topic 6,2019,389,62416,0.006232376313765701
177,Topic 6,2020,322,81554,0.003948304191088114
178,Topic 6,2021,261,52101,0.005009500777336327
179,Topic 6,2022,220,38252,0.005751333263620203
180,Topic 6,2023,85,25299,0.003359816593541247
181,Topic 7,2011,4,1400,0.002857142857142857
182,Topic 7,2012,42,15956,0.0026322386563048385
